,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
135,charlie_lol01,,,40,66,14188,6,@kirasworlds how they expect Kanye to react https://t.co/7PGDEHxYIg,[],2019-10-03 13:30:51+00:00,1179750582464253952,1585275262308073475
136,notmyviews,-,Newcastle,1098,285,22728,0,@sjs856 Do you think these people came to this with or without Kanye? I'm from the UK so I would be interested to know your opinion. Seems like people are doing full gymnastics routines.,[],2010-10-06 20:10:02+00:00,199412189,1585275261330800640
137,neli444_,,,93,12,928,1128,normalize texting me back in 5 seconds before i start acting like kanye,[],2021-12-26 23:33:12+00:00,1475248318846541825,1585275261167222785
138,iamjuneamore,Director|Writer|Author #NYMade #LoveJACr3W IG:@IamJuneAmore #44Forever🕊 #TheLiteraryRockstar,South Florida,474,1540,1261,0,If you want to get out of contracts without a legal battle pull a Kanye …. #VeryStrategic,['VeryStrategic'],2012-04-30 22:52:10+00:00,567710901,1585275261154693121
139,AmyDoghouse,I don't bark at mail carriers any more.,Philly suburbs,1726,450,46615,10,"After Kanye West turned down an offer of a private tour by the Holocaust Museum in LA, saying ""Planned Parenthood is my Holocaust museum,"" the museum was flooded with antisemitic attacks.  https://t.co/EpLRGaAnmM",[],2017-04-03 16:40:00+00:00,848938144049356800,1585275260999548929
140,warlockgmach,"Producer, Artist, Musician. Animal Lover. Fight Oppression and Corporate Manipulation. I FB. In Twitmo again. #Bluecrew #Resist #BlueNovember",Los Angeles,15498,15524,3697,938,Glad Kanye was held accountable. Now do Tucker Carlson.,[],2022-04-02 02:06:54+00:00,1510076201867497474,1585275260173135874
141,DayBaby_25,"Take what matters most, and cherish them. UC’20 Alumna #peace #quality #blm",University of Cincinnati,461,731,58308,0,I think the idolization of Kanye is odd. I also think people writing think pieces about a “bigger” picture that’s not there is odd. He just has narcissistic personality disorder and that’s all. Stop contributing to his god complex,[],2013-05-30 15:26:13+00:00,1469979210,1585275260122841088
142,_BIGDJ_,I be bored sometimes 🤷🏿‍♂️,,213,174,5871,1,Im so confused y Kanye getting “canceled” by black people ????,[],2019-08-29 15:04:33+00:00,1167090611087925250,1585275258789150721
143,EJoshuaMiller,✡️🇺🇸,"Boca Raton, FL",4034,549,12354,1250,"Just a reminder that, two weeks ago, @TuckerCarlson interviewed Kanye, edited out the most explicit anti-semitism, and then told his audience of millions that Kanye was ""not crazy"" and ""worth listening to.""

https://t.co/pPqD9iSUHV",[],2011-04-10 04:48:33+00:00,279860317,1585275258482950145
144,kenkircher1,"Lost wife & best friend, Emily, 11/19/2017.
Blue. Gunsense. BLM. BDS.
Repulsed by hatred, bigotry & the Republican war against democracy itself!
Vote Blue!",Just out of Sorts,1241,2703,1175647,3469,BREAKING: Streaming service Spotify announces that it will NOT drop racist Trumper Kanye West from its service over his shockingly antisemitic threats because they “did not violate” Spotify’s policies. RT IF YOU THINK THAT SPOTIFY MUST DROP KANYE WEST!,[],2014-12-20 15:28:21+00:00,2933793124,1585275257929203713
145,ishxtweet,i could write my magnum opus or i could simply go to bed,she/her,520,1787,8013,0,"karma is real, kanye’s downfall is the living proof",[],2020-11-25 11:34:25+00:00,1331561824672616449,1585275257878822912
146,Saralivory17,Paris Abidjan 🇫🇷🇨🇮,"Paris, France",51,9,565,52,"La suite des événements de Kanye West devrait être une leçon pour nous. Tous les peuples ne sont pas égaux. Et pour qu’on nous respecte il faut le travaille, s’enrichir, et devenir une puissance financière incontournable. Notre monde ne respecte que l’argent pas les plaintes",[],2022-06-27 14:08:14+00:00,1541423113967210500,1585275256457003011
147,scottywhip,You ain't whipin unless you scottywhipin,"San Antonio, TX",624,544,4095,1007,Kanye asada https://t.co/kbIhu5O48C,[],2016-07-14 07:31:17+00:00,753492043125526528,1585275256243093504
148,dawnzi601,,,345,29,3378,15197,I am sure Kanye can still get a fashion deal with My Pillow.,[],2011-02-19 22:32:46+00:00,254741377,1585275254812725249
149,OleBrr,"If you're here because of a twitter argument, don't bother.
Top 1 reply-guy.
Reading: Bleach and Fata",20,2234,521,11058,0,Breaking News: Los Pollos Hermanos have decided to cut ties with Kanye West according to TMZ https://t.co/VOBWUg5Ro1,[],2016-03-25 20:23:56+00:00,713461436438212609,1585275253730705412
