,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
11,nyah_t,UNC '21,North Carolina,766,1241,46981,3849,Shrek walked so #HouseOfTheDragon could run https://t.co/INyRh2NdRW,['HouseOfTheDragon'],2011-01-29 01:52:49+00:00,244322140,1583457311023996929
12,CDingleman,"Captain of the 12th division, director and chief the research and development bureau. Master of IX. Art lover. Enjoyer of food. Comic fan.",The North,642,296,39628,378,"thinking about Emma D'Arcy narrating the intro of #HouseoftheDragon with their velvety voice
https://t.co/lXhJWZc3y2",['HouseoftheDragon'],2011-10-29 05:37:56+00:00,400529947,1583457306918154247
13,am_capps,North Texas & Texas A&M Alum | Financial Analyst | ISTJ | lefty #eastcoast,,539,25,612,3849,Shrek walked so #HouseOfTheDragon could run https://t.co/INyRh2NdRW,['HouseOfTheDragon'],2020-02-03 17:46:10+00:00,1224388578584809475,1583457301385469952
14,ShamiAhmed123,Apoliticism (this user don’t support any political party or political personality),,558,488,94585,545,Tom Glynn-Carney • King Aegon II Targaryen #HouseOfTheDragon https://t.co/Yv3PGMQrNL,['HouseOfTheDragon'],2011-12-09 11:51:51+00:00,432439517,1583457295375433736
15,ctrivera13,EXO- 02/10/2016 Teen Top- 04/08/2016 Got7- 7/02/2016 CL- 11/06/2016 Dean- 05/20/2017 #zhangyixing #ot9 #noexonolife #sheep,"Dallas, Texas",1017,108,33804,87,Colored version of Rhaenyra and Ser Harwin 🤍 #HouseOfTheDragon #hotd #digitalart #characterart https://t.co/vcon5kfF3H,"['HouseOfTheDragon', 'hotd', 'digitalart', 'characterart']",2009-08-09 21:26:26+00:00,64258134,1583457287636946944
16,sechanji,"❤️‍🩹
#jisoo #sehun",,172,13,981,3,"#HouseOftheDragon
في قانون الإخوة "" ليس الكبير دائما الأقوى 
فالوحش قد يأتي بعد البكر ""  انه ايموند تارقيريان الاقوى بين ابناء فسيريس 🔥🔥🔥🐉
وقالتها هيلينا "" احذروا من الوحش المُتخبئ "" 
ومن بعدها طلعت لقطة ايموند لانه الوحش بذاته🔥

#aemondtargaryen https://t.co/6hWc8J62pf",['HouseOftheDragon'],2021-10-17 11:00:43+00:00,1449691797186301958,1583457281727156224
17,stormbbornn,welcome to my fantastic world 💕   🔥d a e m y r a 🔥,House Of The Dragon,188,1858,71167,0,"hotd 1. bölüm giriş seslendirmesini yapan emma d'arcy'nin, dizi başlamadan önce röportajlarını izlediğim için daha sahnelerini bile izlemeden sesine aşık olmuştum..
değiştim ve geliştim. artık hem sesi hem de oyunculuğunun müptelasıyım
#HouseOfTheDragon
https://t.co/s6HCF0BOn1",['HouseOfTheDragon'],2018-12-10 17:41:27+00:00,1072184532428865536,1583457273057140736
18,filipetalvez,,,608,734,72132,3849,Shrek walked so #HouseOfTheDragon could run https://t.co/INyRh2NdRW,['HouseOfTheDragon'],2017-11-28 03:23:10+00:00,935348314744262657,1583457257328504832
19,panku_,"Read tweets in The Lego Batman Voice. I scribble poetry.
Comic Strip maker. F1 fanatic. Movies & Music are life. 
Adore tech-toys. IG: @panku_ & @poetrybypanku","Mumbai, India",543,7687,250450,0,So apparently #HouseOfTheDragon crime cloak is a thing now.,['HouseOfTheDragon'],2009-07-10 07:20:35+00:00,55498831,1583457253923123200
20,natifeed,hannibal's patient,"salvador, ba",51,61,1721,165,"🚨 | DRAGÕES NO TOPO.
#HouseoftheDragon bate mais de 1 BILHÃO de minutos assistidos ultrapassando In The Dark e The Rings of Power, e detalhe, com uma janela de  apenas 3 horas válidas para contagem. 
Via: @DEADLINE | @nielsen. https://t.co/b9a0SdwGgJ",['HouseoftheDragon'],2021-09-20 20:32:00+00:00,1440050641007616008,1583457253373644801
